Year,Quarter,Data,Backcast(3),Backcast(2),Backcast(1),Nowcast(3),Nowcast(2),Nowcast(1),Forecast 1Q(3),Forecast 1Q(2),Forecast 1Q(1),Forecast 2Q(3),Forecast 2Q(2),Forecast 2Q(1)
1991,2,1.16519481577821,0.613107371258273,0.622249896804823,0.653003032187858,,,,,,,,,
1991,3,0.408031217876825,0.756715118963187,0.825618498504575,0.425981880047614,0.665017371108737,0.630755040854547,0.605820972683237,,,,,,
1991,4,1.10322885627809,0.828136761430723,0.751934951923189,0.865641414186619,0.736751102762976,0.721231908393751,0.70393238988318,0.711810499006759,0.749928646326504,0.56598626050432,,,
1992,1,0.705205760189287,0.935699113294893,0.859798682410114,0.849683041206609,0.657853545032607,0.554291176632499,0.957135938132779,0.760405103206439,0.72377318965834,0.444450997999068,0.799258811407073,0.715162755952318,0.895071137082031
1992,2,-0.923212677609264,0.621641870602371,0.657703945218843,0.781861116855354,0.913638033518263,0.90593450354122,0.849529216317277,0.566595707762169,0.674041299519053,0.960445109865748,0.725801174056764,0.83310742291445,0.374728490567493
1992,3,0.303747788899678,0.428456233388634,0.26425225587225,0.628739226707116,0.477416679070444,0.591112384366465,0.743283356988609,0.865236109622044,0.936699346780407,0.867224725188718,0.667214122367196,0.70968249920098,0.862086826045705
1992,4,0.375997005557416,0.27589216339783,0.364997706874845,0.580967462678183,0.196329535999944,0.256464403338228,0.589643533049843,0.579491375208982,0.519882469965067,0.716263862044253,0.993118051985668,0.982841491399547,0.787698737893041
1993,1,0.614023528013341,0.515996054672378,0.458900712216141,0.245085212496502,0.508205327121145,0.203893427576225,0.462101064124317,0.0300461883955637,0.598673555340097,0.804288556168003,0.524723978918162,0.686182103057657,0.750114066410794
1993,2,0.24958412695959,0.503303555849745,0.564010926509417,0.23923009896282,0.444387856902198,0.367126571427457,0.633614056239407,0.318267026817458,0.215662963508812,0.488842126860257,0.669267328428992,0.61711646253787,0.705897126258674
1993,3,0.813936827854889,0.606297411918335,0.438833429480882,0.433628362440372,0.54804414680155,0.596056853591461,0.36503362573735,0.501089621685288,0.339739307508274,0.409799976796247,0.483158557181089,0.51669228267019,0.764826317454799
1993,4,-0.622319626498147,0.636499351327782,0.751761394915907,0.734304198043704,0.470344471874471,0.466201133330365,0.352987871743884,0.467332758670959,0.345615833781734,0.391467038276975,0.223620436256231,0.525544118875672,0.546048952245505
1994,1,1.48544405846067,0.634733183597066,0.593755043072295,0.642140222022897,0.709287440601377,0.772110185738967,0.764977119915718,0.534458291627727,0.491762758245164,0.414479644405804,0.460780391932436,0.40295677690525,0.275639076396306
1994,2,1.14381797188035,0.899860574159551,0.903705201959531,0.870618191689822,0.600859359175846,0.53441041526767,0.633170214096574,0.713857412987481,0.655725123742843,0.69951363692563,0.558977688371023,0.510605555134746,0.480045532102899
1994,3,0.755308582084524,0.758131532728446,0.86492765542036,0.893816552442341,0.971083614445877,0.883595041048986,0.832947380112788,0.525823845501976,0.790887034935541,0.650015417012145,0.745274699933543,0.735294186214346,0.615090456390723
1994,4,0.942442683127531,0.771208431703902,0.737608622360648,0.798472189840286,0.827309927141015,0.781067339884874,0.920067948142224,0.889483681185836,0.89910472366963,0.640356845627163,0.71058155385449,0.703201915986275,0.673711832564407
1995,1,0.677999130138218,0.819645991051421,0.863134397495663,0.909331346373774,0.707932163841756,0.849371366242222,0.717996325471036,0.761025292069985,0.804395947018027,0.882597913891987,0.800085444819418,0.88396601054928,0.727685855596921
1995,2,0.781488562872923,0.714565047788467,0.711077969911543,0.781838999298701,0.862002742681384,0.781862362421008,0.80049141410903,0.727153929154059,0.87765507828248,0.784543587218328,0.728439444296532,0.744789664088276,0.922571139715517
1995,3,0.782625673956439,0.509965486609797,0.498498611486466,0.613138885786651,0.706524226281736,0.650449277298484,0.851960941341737,0.797207926589541,0.830858057374672,0.86310458326957,0.811123544788077,0.804835320022055,0.67003451120699
1995,4,0.709850591413819,0.455949459869123,0.437532209213029,0.47749490932378,0.580122816713281,0.487071962991109,0.567148260545427,0.710232003293405,0.798616617544657,0.835307120877629,0.782185719209446,0.783027925536368,0.799309428162415
1996,1,0.115273702053997,0.530853280323234,0.577577001332643,0.643875132645689,0.420048937816774,0.530896536681925,0.524961710817512,0.608990844562384,0.543942519581978,0.483949674564824,0.661302559961763,0.69461409861811,0.862494871572265
1996,2,1.10028054526357,0.689299430038446,0.772280004259474,0.564279545874648,0.476908670641503,0.637857114375005,0.670830708700925,0.382896793650441,0.413970454424148,0.48416636557549,0.558929748399186,0.491728038749514,0.504003430118021
1996,3,1.38693458340668,0.702490082970209,0.734496759154988,0.88222182803631,0.727965258483486,0.759091210830783,0.565858787417167,0.555197062613621,0.533079030458829,0.64853207902047,0.529157856781843,0.506569882298407,0.484940476884135
1996,4,0.70497927129356,0.889073847582941,0.976528890420622,0.684495281862919,0.664953039396788,0.551406804246392,0.942561604057613,0.704868209911101,0.757278718769923,0.572562099975128,0.563565216573989,0.62762401884381,0.631879476235517
1997,1,1.08034146468832,0.933274190884571,0.950434323215717,0.723907745651339,0.873298736914362,0.867718502255976,0.821212188589858,0.701976182620022,0.534097177055344,0.706700738078257,0.77070717533573,0.790770171501985,0.58935072718426
1997,2,1.04814980557126,0.920925396084081,0.891494253960236,0.822141864507058,0.94433495719381,0.980690392166444,0.802170046757772,0.935433128490611,0.744371623002105,0.689015229651631,0.72555651445069,0.653862297118216,1.01358073151546
1997,3,1.43886240067825,1.00745816911659,0.944828155107146,0.694327111168395,0.850671205298881,0.927960029785543,0.819654172184267,0.962973789267316,0.985298453047741,0.819063068545887,0.858493779004137,0.738184058314727,0.766119560841556
1997,4,1.27016699756499,0.929942388480426,0.986442452241813,0.936521153009645,0.943472812227523,0.936779781063309,0.690075990806632,0.919353046248088,0.79488342237661,0.90926281519254,0.969288594835092,0.922134148770057,0.738401652324762
1998,1,1.34349743405373,0.861988970978105,0.885917983491115,0.936619311201702,0.958643111598865,0.92753433262074,0.93976049306665,1.00497394825787,0.962301132600091,0.659487460237942,0.932032190192172,0.892519011653603,0.791794747289003
1998,2,0.710481212677472,0.778564738976856,0.828714228943008,0.758973311960136,0.893047172911028,0.81933968905947,0.88939718608322,0.918904409379396,0.947237455066596,0.954047917277806,0.916880249945363,0.916151440173924,0.613131224376125
1998,3,0.856478165452224,0.761326396804607,0.794555477700365,0.839926975141363,0.858538877067119,0.771670826677265,0.817725001279778,0.822913232298397,0.938321828289899,0.860575316968113,0.951027952954547,0.909471610234449,0.917171422648034
1998,4,0.910224946088789,0.546472600356213,0.559393254321935,0.801934889942909,0.775031219806047,0.79358047889182,0.878262938727259,0.778200039012343,0.837049292008597,0.782928769809926,0.862101649946941,0.789950353573479,0.869649089731719
1999,1,1.64825924211236,0.772963050382099,0.708761921875849,0.63181787245943,0.536550847651934,0.613352431313568,0.841479723067158,0.83888725263616,0.777845751262032,0.919300324691829,0.912556362678269,0.895683679727964,0.71935467073517
1999,2,1.10685722599229,0.694188193275014,0.674618473123877,0.837878372464826,0.790295684219101,0.664737439021423,0.475897016549195,0.49738114293236,0.608515093191825,0.738631789445848,0.788734161341265,0.717320214630492,0.797524773026135
1999,3,1.37566405613807,1.00289465814551,0.992052134569031,0.944916948549606,0.668815760221985,0.652871060149123,0.829169638274139,0.752855955330439,0.708717523261512,0.676256996826529,0.611188756937999,0.532720336440109,0.838055865794539
1999,4,1.40135054328887,0.966676420049474,0.901416825276586,0.827819591876857,0.993891610428437,0.950284328552251,0.969956587033761,0.675830460862025,0.700097542106106,0.847440055175306,0.70837564693335,0.612864806830412,0.664879526592322
2000,1,0.625201577565804,0.966658008757783,0.944727110661944,0.838771341085132,0.938283737266503,0.925383812416739,0.845776441956781,0.934909174519028,1.1138614326405,0.946277490944266,0.690532422061304,0.700156966933656,0.900617020876352
